Year,Month,Day,t_max_B,t_min_B,R_B,U2_B,RH_B,t_max_A,t_min_A,R_A,U2_A,RH_A
2021,4,111,21.15,8.23,145.41,2.05,60.81,16.14,-1.11,138.6,3.84,36.69
2021,4,112,22.46,8.49,118.06,2.16,70.19,19.31,2.27,101.23,5.82,54.56
2021,4,113,23.79,17.72,29.53,2.71,92.31,25.86,7.37,108.48,3.52,49.06
2021,4,114,29.51,17.94,142.57,1.91,75.5,24.89,4.94,147.67,3.45,42.88
2021,4,115,26.35,15.52,148.23,1.68,75.5,33.08,9.24,150.21,6.03,22.38
2021,4,116,26.42,15.11,128.77,2.08,77.12,31.73,15.65,107.27,5.87,18.56
2021,4,117,27.67,20.62,43.37,2.27,86.56,26.88,14.31,85.34,4.24,29.44
2021,4,118,29.43,22.79,80.44,3.15,83.19,18.55,11.65,97.05,3.91,52.31
2021,4,119,29.65,21.76,74.97,1.97,86.25,23.68,9.81,139.52,4.92,41
2021,4,120,24.73,20.09,29.85,1.55,91.69,26.31,8.93,143.79,2.42,38.75
2021,5,121,24.88,19.94,46.51,2.32,90.81,28.12,10.37,147.27,3.48,42.88
2021,5,122,28.78,22.28,124.66,2.77,84.75,35.65,11.78,149.47,4.77,35.88
2021,5,123,30.06,22.61,101.16,2.45,85.25,18.43,9.54,55.23,5.95,67.31
2021,5,124,29.67,19.9,86.06,1.31,86.5,21.12,7.05,152.41,3.01,50.12
2021,5,125,28.61,15.66,153.23,1.64,75.12,29.72,7.81,147.98,3.84,45.5
2021,5,126,28.99,14.8,138.59,1.4,70.12,28.12,9.87,153.8,3.95,45.44
2021,5,127,29.94,15.55,148.53,1.4,67.25,33.85,13.37,126.34,5.23,41.75
2021,5,128,29.13,17.59,139.77,2.55,75.75,33.23,14.94,141.22,6.34,32.69
2021,5,129,30.33,22.96,77.44,2.78,80.81,25.1,10.37,150.89,4.4,45.62
2021,5,130,30.44,22.93,100.18,1.65,83.94,21.81,7.12,88.38,3.77,57.94
2021,5,131,29.51,22.66,86.11,1.46,87.69,14.88,7.12,41.61,4.1,72.56
2021,5,132,27.4,17.66,49.77,1.66,85.44,20.17,6.1,90.69,2.61,60.69
2021,5,133,26.87,16.9,122.96,1.7,76,25.73,6.45,121.35,3.99,55
2021,5,134,27.15,14.69,139.74,1.49,69.75,29.76,11.12,130.59,5.71,59.5
2021,5,135,27.91,18.27,115.48,1.91,75.88,25.77,14.72,135.34,4.16,65.19
2021,5,136,26.13,21.07,88.01,2.18,83.19,27.69,16.21,121.52,3.19,73
2021,5,137,27.33,22.15,31.91,1.96,92.25,27.37,15.48,130.38,2.95,77.88
2021,5,138,25.49,21.69,80.12,2.31,95,23.24,12.39,98.13,3.19,72.19
2021,5,139,24.15,22.32,59.48,2.04,96.38,21.18,10.15,108.45,2.43,73.94
2021,5,140,25.46,22.55,68.58,2.36,94.44,28.02,13.11,147.13,4.87,65.5
2021,5,141,25.61,21.68,56.27,2.38,93.75,30.01,14.14,152.96,6.61,64
2021,5,142,26.54,22.44,54.61,2.57,89.38,26.72,17.04,103.65,5.69,73.44
2021,5,143,26.14,21.44,87.55,2.09,86.69,28.02,17.02,104.86,5.78,71.94
2021,5,144,27.22,22.23,83.62,2.16,87.38,25.33,16.53,119.5,5.04,73.44
2021,5,145,26.84,22.55,98.35,1.78,88.94,31.22,17.26,150.42,3.79,62.25
